Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Year,Total.On.Board,Fatal.Injury.Likelihood,Serious.Injury.Likelihood,Severe.Injury.Risk,Aircraft.Destroyed,Aircraft.ID
20001214X42095,Accident,SEA83LA036,1983-01-01,"NEWPORT, OR",United States,,,ONP,NEWPORT MUNICIPAL,Non-Fatal,substantial,N1296M,cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,1.0,3.0,vmc,approach,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_182p
20001214X42067,Accident,MKC83LA056,1983-01-01,"WOODBINE, IA",United States,,,3YR,MUNICIPAL,Non-Fatal,substantial,N2639C,cessna,182rg,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_182rg
20001214X42063,Accident,MKC83LA050,1983-01-01,"MARYVILLE, MO",United States,,,78Y,RANKIN,Non-Fatal,substantial,N58664,cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_182p
20001214X42018,Accident,LAX83FUG11,1983-01-01,"UPLAND, CA",United States,,,CCB,CABLE,Non-Fatal,substantial,N3084R,piper,pa-28r-200,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,approach,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,piper_pa-28r-200
20001214X41951,Accident,CHI83LA074,1983-01-01,"SPRINGBROOK, WI",United States,,,,SPRINGBROOK,Non-Fatal,substantial,N89399,cessna,140,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_140
20001214X42010,Accident,LAX83FA064,1983-01-02,"MONTEREY, CA",United States,,,,,Non-Fatal,destroyed,N1947E,cessna,340a,No,2.0,reciprocating,personal,0.0,0.0,4.0,0.0,vmc,takeoff,Probable Cause,,1983,4.0,0.0,0.0,0.0,1,cessna_340a
20001214X41937,Accident,CHI83FA069,1983-01-02,"GENOA CITY, WI",United States,,,64C,VINCENT,Fatal(2),destroyed,N3168G,north american,t-6g,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,maneuvering,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,north american_t-6g
20001214X41919,Accident,ATL83FA081,1983-01-02,"BEAUFORT, SC",United States,,,,,Fatal(3),destroyed,N8066P,piper,pa-24-250,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,cruise,Probable Cause,,1983,3.0,1.0,0.0,1.0,1,piper_pa-24-250
20001214X42051,Accident,MIA83LA056,1983-01-02,"NEAR VERO BEACH, FL",United States,,,,,Non-Fatal,substantial,N35590,piper,pa-32-301r,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,maneuvering,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,piper_pa-32-301r
20001214X41994,Accident,FTW83LA073,1983-01-02,"BIG SPRING, TX",United States,,,21XS,BIG SPRING MUNICIPAL,Non-Fatal,substantial,N9435Q,beech,v-35b,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,takeoff,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,beech_v-35b
20001214X41976,Accident,DEN83LA047,1983-01-02,"VERNAL, UT",United States,,,VEL,VERNAL MUNI.,Non-Fatal,substantial,N6732B,beech,a36,No,1.0,reciprocating,business,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,beech_a36
20001214X41950,Accident,CHI83LA073,1983-01-02,"MONEE, IL",United States,,,C56,SANGER,Non-Fatal,substantial,N9699B,cessna,180,No,1.0,reciprocating,personal,0.0,0.0,0.0,4.0,vmc,landing,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_180
20001214X41948,Accident,CHI83LA071,1983-01-02,"PLATO CENTER, IL",United States,,,LL53,OLSON,Non-Fatal,substantial,N4292V,cessna,170,No,1.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_170
20001214X41947,Accident,CHI83LA070,1983-01-02,"GREENBURG, IN",United States,,,,,Non-Fatal,substantial,N7230G,cessna,172,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,cruise,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,cessna_172
20001214X41927,Accident,ATL83LA080,1983-01-02,"LAUREL, MS",United States,,,PIB,PINE BELT REGIONAL,Non-Fatal,substantial,N5291M,swearingen,sa-226tc,No,2.0,turbo prop,personal,0.0,0.0,0.0,20.0,imc,cruise,Probable Cause,,1983,20.0,0.0,0.0,0.0,0,swearingen_sa-226tc
20001214X41924,Accident,ATL83FIG03,1983-01-02,"HANCOCK, MD",United States,,,W35,POTOMAC AIRPARK,Fatal(1),substantial,N8515U,cessna,172f,No,1.0,reciprocating,personal,1.0,1.0,2.0,0.0,vmc,maneuvering,Probable Cause,,1983,4.0,0.25,0.25,0.5,0,cessna_172f
20001214X42087,Accident,SEA83FA038,1983-01-03,"WILLARD, WA",United States,,,,,Fatal(5),destroyed,N6087C,cessna,t303,No,2.0,reciprocating,business,5.0,0.0,0.0,0.0,imc,climb,Probable Cause,,1983,5.0,1.0,0.0,1.0,1,cessna_t303
20001214X42017,Accident,LAX83FUA02,1983-01-03,"AVALON, CA",United States,,,AVX,CATALINA,Fatal(2),destroyed,N2239M,piper,pa-28-161,No,1.0,reciprocating,personal,2.0,2.0,0.0,0.0,vmc,go-around,Probable Cause,,1983,4.0,0.5,0.5,1.0,1,piper_pa-28-161
20001214X41966,Accident,DCA83AA010,1983-01-03,"HAILEY, ID",United States,,,SUN,FRIEDMAN MEMORIAL,Fatal(2),destroyed,N805C,canadair,cl-600-1a11,No,2.0,turbo fan,executive/corporate,2.0,0.0,0.0,0.0,vmc,approach,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,canadair_cl-600-1a11
20001214X42023,Accident,LAX83FXQ02,1983-01-03,"MAMMOTH LAKES, CA",United States,,,MMF,MAMMOTH,Non-Fatal,substantial,N1931T,piper,pa-28-235,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,climb,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-28-235
20001214X42011,Accident,LAX83FA066,1983-01-03,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Non-Fatal,substantial,N49750,cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_152
20001214X41949,Accident,CHI83LA072,1983-01-03,"DETROIT, MI",United States,,,DET,DETROIT CITY,Non-Fatal,substantial,N25920,piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-38-112
20001214X41995,Accident,FTW83LA075,1983-01-03,"ORLA, TX",United States,,,,,Non-Fatal,substantial,N5289Y,cessna,t210n,No,1.0,reciprocating,unknown,0.0,1.0,0.0,0.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,1.0,1.0,0,cessna_t210n
20001214X42021,Accident,LAX83FUJ11,1983-01-04,"PHOENIX, AZ",United States,,,PHX,PHX SKY HARBOR,Non-Fatal,substantial,N25GH,douglas,a26c,No,2.0,reciprocating,unknown,0.0,0.0,0.0,3.0,unk,taxi,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,douglas_a26c
20001214X42086,Accident,SEA83FA037,1983-01-05,"PORTLAND, OR",United States,,,TTD,PORTLAND-TROUTDALE,Fatal(1),destroyed,N5370Y,cessna,t210n,No,1.0,reciprocating,unknown,1.0,0.0,0.0,0.0,imc,descent,Probable Cause,,1983,1.0,1.0,0.0,1.0,1,cessna_t210n
20001214X42080,Accident,NYC83LA048,1983-01-05,"GRANVILLE, PA",United States,,,,,Non-Fatal,destroyed,N29947,north american,at-6d,No,1.0,reciprocating,personal,0.0,0.0,1.0,0.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,0.0,0.0,1,north american_at-6d
20001214X42071,Accident,NYC83FA049,1983-01-05,"ATLANTIC CITY, NJ",United States,,,ACY,ATLANTIC CITY,Fatal(2),destroyed,N7619Y,piper,pa-30,No,2.0,reciprocating,personal,2.0,0.0,0.0,0.0,imc,cruise,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,piper_pa-30
20001214X41969,Accident,DEN83FA044,1983-01-05,"ALMY, WY",United States,,,EVW,EVANSTON MUNI,Fatal(1),destroyed,N6893L,piper,aerostar 602p,No,2.0,reciprocating,business,1.0,0.0,0.0,0.0,vmc,approach,Probable Cause,,1983,1.0,1.0,0.0,1.0,1,piper_aerostar 602p
20001214X41939,Accident,CHI83FA076,1983-01-05,"HANOVER PARK, IL",United States,,,063,SCHAUMBURG,Fatal(3),destroyed,N9621Q,cessna,172m,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,takeoff,Probable Cause,,1983,3.0,1.0,0.0,1.0,1,cessna_172m
20001214X41938,Accident,CHI83FA075,1983-01-05,"LINDENWOOD, IL",United States,,,,,Fatal(3),destroyed,N1968Y,mooney,m-20d,No,1.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,approach,Probable Cause,,1983,3.0,1.0,0.0,1.0,1,mooney_m-20d
20001214X41920,Accident,ATL83FA083,1983-01-05,"PEACHTREE CITY, GA",United States,,,2A9,FALCON,Non-Fatal,destroyed,N9234S,beech,c23,No,1.0,reciprocating,personal,0.0,4.0,0.0,0.0,vmc,takeoff,Probable Cause,,1983,4.0,0.0,1.0,1.0,1,beech_c23
20001214X42079,Accident,NYC83LA047,1983-01-05,"CENTRE HALL, PA",United States,,,N16,CENTRE,Non-Fatal,substantial,N4911G,cessna,172n,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_172n
20001214X42044,Accident,MIA83FA057,1983-01-06,"LA BELLE, FL",United States,,,,,Fatal(2),destroyed,N89225,cessna,152,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,imc,maneuvering,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,cessna_152
20001214X41996,Accident,FTW83LA077,1983-01-06,"SAN ANGELO, TX",United States,,,SJT,SAN ANGELO,Non-Fatal,destroyed,N5276U,cessna,172rg,No,1.0,reciprocating,aerial observation,0.0,0.0,0.0,1.0,vmc,,Probable Cause,,1983,1.0,0.0,0.0,0.0,1,cessna_172rg
20001214X41975,Accident,DEN83LA046,1983-01-06,"GREAT FALLS, MT",United States,,,,,Non-Fatal,destroyed,N7039J,bell,47g-3b-2 (soloy),No,1.0,turbo shaft,public aircraft,0.0,0.0,0.0,2.0,vmc,maneuvering,Probable Cause,,1983,2.0,0.0,0.0,0.0,1,bell_47g-3b-2 (soloy)
20001214X42026,Accident,LAX83LA068,1983-01-06,"BAKERSFIELD, CA",United States,,,L45,BAKERSFIELD,Non-Fatal,substantial,N38916,piper,pa-28-161,No,1.0,reciprocating,business,0.0,0.0,0.0,1.0,imc,approach,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-28-161
20001214X41973,Accident,DEN83FTE05,1983-01-06,"COLO SPRINGS, CO",United States,,,,,Non-Fatal,substantial,N36166,schweizer,1-36,No,0.0,,personal,0.0,0.0,0.0,1.0,vmc,maneuvering,Probable Cause,16-08-2011,1983,1.0,0.0,0.0,0.0,0,schweizer_1-36
20001214X41970,Accident,DEN83FA045,1983-01-06,"SULA, MT",United States,,,,,Fatal(1),substantial,N55LW,bell,206b iii,No,1.0,turbo shaft,personal,1.0,1.0,0.0,0.0,imc,cruise,Probable Cause,,1983,2.0,0.5,0.5,1.0,0,bell_206b iii
20001214X41918,Accident,ANC84LA001,1983-01-06,"TOGIAK, AK",United States,,,TOG,TOGIAK,Non-Fatal,substantial,N4924E,cessna,185,No,1.0,reciprocating,unknown,0.0,0.0,2.0,0.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_185
20001214X41912,Accident,ANC83LA029,1983-01-06,"TIGVARIAK ISL., AK",United States,,,1,,Non-Fatal,substantial,N2150S,bell,212,No,2.0,turbo shaft,unknown,0.0,0.0,0.0,8.0,vmc,landing,Probable Cause,,1983,8.0,0.0,0.0,0.0,0,bell_212
20001214X42072,Accident,NYC83FA050,1983-01-07,"MONTGOMERY, NY",United States,,,MGJ,ORANGE COUNTY,Non-Fatal,destroyed,N223JN,piper,pa-30,No,2.0,reciprocating,personal,0.0,0.0,2.0,0.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,1,piper_pa-30
20001214X42043,Accident,LAX83LXQ03,1983-01-07,"2 MI EAST MINA, NV",United States,,,,,Non-Fatal,substantial,N25334,cessna,152,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_152
20001214X42027,Accident,LAX83LA069,1983-01-07,"NEAR VACAVILLE, CA",United States,,,,,Non-Fatal,substantial,N4027D,hiller,uh-12e,No,1.0,reciprocating,aerial application,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,hiller_uh-12e
20001214X42005,Accident,FTW83LA095,1983-01-07,"HOUSTON, TX",United States,,,HOU,WM. P. HOBBY,Non-Fatal,substantial,N448,cessna,421c,No,2.0,reciprocating,executive/corporate,0.0,0.0,0.0,4.0,imc,landing,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_421c
20001214X41999,Accident,FTW83LA082,1983-01-07,"MANGUM, OK",United States,,,,,Non-Fatal,substantial,N4171P,piper,pa-23-160,No,2.0,reciprocating,ferry,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-23-160
20001214X41997,Accident,FTW83LA080,1983-01-07,"CANADIAN, TX",United States,,,1ES,HEMPHILL CO.,Non-Fatal,substantial,N8849A,beech,b35,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,approach,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,beech_b35
20001214X41977,Accident,DEN83LA048,1983-01-07,"GLADE PARK, CO",United States,,,,,Non-Fatal,substantial,N3886P,cessna,p210n,No,1.0,reciprocating,business,0.0,0.0,0.0,5.0,vmc,cruise,Probable Cause,,1983,5.0,0.0,0.0,0.0,0,cessna_p210n
20001214X41904,Accident,ANC83FA030,1983-01-07,"ANIAK, AK",United States,,,ANI,ANIAK,Non-Fatal,substantial,N7389U,cessna,207a,No,1.0,reciprocating,unknown,0.0,0.0,0.0,7.0,vmc,takeoff,Probable Cause,,1983,7.0,0.0,0.0,0.0,0,cessna_207a
20051208X01953,Accident,SEA83LA209,1983-01-08,"Goldendale, WA",United States,46.041111,-120.849722,,,Fatal(2),destroyed,N8807R,bellanca,14-19-3,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,cruise,Probable Cause,28-03-2006,1983,2.0,1.0,0.0,1.0,1,bellanca_14-19-3
20001214X42045,Accident,MIA83FA058,1983-01-08,"GREEN COVE SPGS, FL",United States,,,7 FL,HALLER AIRPORT,Fatal(2),destroyed,N6503G,cessna,150,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,takeoff,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,cessna_150
20001214X41983,Accident,FTW83FA078,1983-01-08,"ROMAYOR, TX",United States,,,,DUKES FIELD,Fatal(2),destroyed,N6049G,cessna,150k,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,maneuvering,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,cessna_150k
20001214X42081,Accident,NYC83LA051,1983-01-08,"SUSSEX, NJ",United States,,,N63,SUSSEX,Non-Fatal,substantial,N72280,cessna,140,No,1.0,reciprocating,personal,0.0,1.0,0.0,0.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,1.0,1.0,0,cessna_140
20001214X42073,Accident,NYC83FA052,1983-01-08,"MILFORD, CT",United States,,,BDR,SIKORSKI MEMORIAL,Non-Fatal,substantial,N9017Y,robinson,r22,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,robinson_r22
20001214X42066,Accident,MKC83LA053,1983-01-08,"GREENWOOD, MO",United States,,,,,Non-Fatal,substantial,N1510D,balloon works,fire fly 7-b,No,0.0,unknown,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,balloon works_fire fly 7-b
20001214X42009,Accident,FTW83LA107,1983-01-08,"CLYDE, TX",United States,,,6F4,ELMDALE,Non-Fatal,substantial,N7843,grumman,g164a-450,No,1.0,reciprocating,aerial application,0.0,0.0,0.0,1.0,vmc,maneuvering,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,grumman_g164a-450
20001214X41925,Accident,ATL83FKJ02,1983-01-08,"ELBA, AL",United States,,,14J,CARL FOLSOM,Non-Fatal,substantial,N1860K,luscombe,8e,No,1.0,reciprocating,personal,0.0,1.0,0.0,0.0,vmc,approach,Probable Cause,,1983,1.0,0.0,1.0,1.0,0,luscombe_8e
20001214X42041,Accident,LAX83LJA04,1983-01-09,"NEAR HONOLULU, HI",United States,,,,,Non-Fatal,destroyed,N32658,piper,pa-28-151,No,1.0,reciprocating,personal,0.0,0.0,1.0,2.0,vmc,cruise,Probable Cause,,1983,3.0,0.0,0.0,0.0,1,piper_pa-28-151
20001214X41984,Accident,FTW83FA079,1983-01-09,"CUSHING, OK",United States,,,,,Fatal(2),destroyed,N7778M,mooney,m20e,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,maneuvering,Probable Cause,,1983,2.0,1.0,0.0,1.0,1,mooney_m20e
20001214X42065,Accident,MKC83LA052,1983-01-09,"SPRINGFIELD, MO",United States,,,,,Non-Fatal,substantial,N1847A,beech,200,No,2.0,turbo prop,business,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,beech_200
20001214X42000,Accident,FTW83LA083,1983-01-09,"BANDERA, TX",United States,,,T33,FLYING L. RANCH,Non-Fatal,substantial,N32978,piper,pa-28r-200,No,1.0,reciprocating,personal,0.0,0.0,0.0,4.0,vmc,taxi,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,piper_pa-28r-200
20001214X41953,Accident,CHI83LA078,1983-01-09,"ASHKUM, IL",United States,,,,,Non-Fatal,substantial,N8343E,mooney,m20a,No,1.0,reciprocating,ferry,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,mooney_m20a
20001214X42062,Incident,MKC83IA054,1983-01-10,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS,Incident,minor,N8200Q,cessna,402b,No,2.0,reciprocating,unknown,0.0,0.0,0.0,4.0,vmc,standing,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,cessna_402b
20001214X42052,Accident,MIA83LA059,1983-01-10,"NEW SMYRNA BCH, FL",United States,,,34J,NEW SMYRNA BEACH,Non-Fatal,substantial,N278Q,enstrom,f-28a,No,1.0,reciprocating,ferry,0.0,0.0,1.0,1.0,vmc,maneuvering,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,enstrom_f-28a
20001214X42028,Accident,LAX83LA070,1983-01-10,"PALO ALTO, CA",United States,,,PAO,PALO ALTO,Non-Fatal,substantial,N19304,cessna,150l,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_150l
20001214X41913,Accident,ANC83LA031,1983-01-10,"WAINWRIGHT, AK",United States,,,5WW,WAINWRIGHT,Non-Fatal,substantial,N3575A,piper,pa-32r-301,No,1.0,reciprocating,unknown,0.0,0.0,0.0,6.0,vmc,landing,Probable Cause,,1983,6.0,0.0,0.0,0.0,0,piper_pa-32r-301
20001214X41968,Accident,DCA83AA014,1983-01-11,"DETROIT, MI",United States,,,DTW,DETROIT METRO,Fatal(3),destroyed,N8053U,mcdonnell douglas,dc-8-54f,No,4.0,turbo fan,,3.0,0.0,0.0,0.0,vmc,takeoff,Probable Cause,,1983,3.0,1.0,0.0,1.0,1,mcdonnell douglas_dc-8-54f
20001214X42088,Accident,SEA83FA040,1983-01-11,"NEWPORT, OR",United States,,,ONP,NEWPORT MUNICIPAL,Non-Fatal,substantial,N644PH,bell,206b,No,1.0,turbo shaft,personal,0.0,0.0,0.0,3.0,vmc,takeoff,Probable Cause,,1983,3.0,0.0,0.0,0.0,0,bell_206b
20001214X41998,Accident,FTW83LA081,1983-01-11,"TEMPLE, TX",United States,,,TPL,TEMPLE MUNICIPAL,Non-Fatal,substantial,N1781D,cessna,170a,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_170a
20001214X41929,Accident,ATL83LA087,1983-01-11,"MADISON, GA",United States,,,52A,MADISON MUNICIPAL,Non-Fatal,substantial,N520R,lockheed,18-56,No,2.0,reciprocating,executive/corporate,0.0,0.0,0.0,4.0,vmc,takeoff,Probable Cause,,1983,4.0,0.0,0.0,0.0,0,lockheed_18-56
20001214X41921,Accident,ATL83FA086,1983-01-11,"QUINTON, VA",United States,,,W96,NEW KENT,Non-Fatal,substantial,N5175X,champion,7eca,No,1.0,reciprocating,instructional,0.0,0.0,2.0,0.0,vmc,takeoff,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,champion_7eca
20001214X42058,Accident,MIA83LA070,1983-01-11,CULEBRA,,,,,,Non-Fatal,destroyed,N20FH,piper,pa-32-260,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,0.0,0.0,1,piper_pa-32-260
20001214X42089,Accident,SEA83FA041,1983-01-12,"REDMOND, OR",United States,,,RDM,ROBERT FIELD,Non-Fatal,substantial,N9751Y,beech,35-b33,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,beech_35-b33
20001214X41954,Accident,CHI83LA079,1983-01-12,"SPRINGFIELD, OH",United States,,,SGH,SPRINGFIELD,Non-Fatal,substantial,N25353,piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-38-112
20001214X42090,Accident,SEA83FA042,1983-01-13,"SUNRIVER, OR",United States,,,S21,SUNRIVER,Fatal(1),destroyed,N29757,bellanca,8kcab,No,1.0,reciprocating,personal,1.0,0.0,0.0,0.0,vmc,maneuvering,Probable Cause,,1983,1.0,1.0,0.0,1.0,1,bellanca_8kcab
20001214X41946,Incident,CHI83IA097,1983-01-13,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,minor,N115AA,mcdonnell douglas,dc10-10,No,3.0,turbo jet,unknown,0.0,0.0,0.0,201.0,vmc,landing,Probable Cause,,1983,201.0,0.0,0.0,0.0,0,mcdonnell douglas_dc10-10
20001214X41940,Accident,CHI83FA080,1983-01-13,"GLENVIEW, IL",United States,,,,,Non-Fatal,destroyed,N6347W,piper,pa-28-140,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,approach,Probable Cause,,1983,2.0,0.0,0.0,0.0,1,piper_pa-28-140
20001214X41910,Incident,ANC83IA034,1983-01-13,"NEAR CORDOVA, AK",United States,,,,,Incident,minor,N2660S,cessna,185,No,1.0,reciprocating,public aircraft,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,cessna_185
20001214X41905,Accident,ANC83FA032,1983-01-13,"CORDOVA, AK",United States,,,,,Fatal(1),destroyed,N74PR,bell,206b,No,1.0,turbo shaft,public aircraft,1.0,1.0,0.0,0.0,vmc,cruise,Probable Cause,,1983,2.0,0.5,0.5,1.0,1,bell_206b
20001214X41932,Accident,ATL83LA090,1983-01-13,"GREENVILLE, SC",United States,,,GMU,GREENVILLE,Non-Fatal,substantial,N7737Y,piper,pa-30,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-30
20001214X42033,Accident,LAX83LA077,1983-01-14,"SAN MARTIN, CA",United States,,,Q99,SOUTH COUNTY,Non-Fatal,substantial,N9927V,cessna,r172k,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,approach,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_r172k
20001214X42002,Accident,FTW83LA090,1983-01-14,"BELLE CHASE, LA",United States,,,LA03,BELLE CHASE,Non-Fatal,substantial,N3533U,piper,pa-31-350,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-31-350
20001214X41955,Accident,CHI83LA081,1983-01-14,"GREEN BAY, WI",United States,,,GRB,AUSTIN STRAUBEL,Non-Fatal,substantial,N9916B,cessna,172 rg,No,1.0,reciprocating,personal,0.0,1.0,1.0,0.0,imc,cruise,Probable Cause,,1983,2.0,0.0,0.5,0.5,0,cessna_172 rg
20001214X41971,Accident,DEN83FA049,1983-01-15,"SISSETON, SD",United States,,,8D3,SISSETON,Fatal(1),destroyed,N9079B,robinson,r22,No,1.0,reciprocating,instructional,1.0,0.0,0.0,0.0,imc,takeoff,Probable Cause,,1983,1.0,1.0,0.0,1.0,1,robinson_r22
20001214X42053,Accident,MIA83LA060,1983-01-15,"KEY LARGO, FL",United States,,,,,Non-Fatal,substantial,N1737Z,cessna,336,No,2.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_336
20001214X42030,Accident,LAX83LA072,1983-01-15,"BARSTOW, CA",United States,,,,,Non-Fatal,substantial,N2422A,piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,,1983,1.0,0.0,0.0,0.0,0,piper_pa-38-112
20001214X42029,Accident,LAX83LA071,1983-01-15,"EL CAJON, CA",United States,,,SEE,GILLESPIE,Non-Fatal,substantial,N5730P,piper,pa-24-250,No,1.0,reciprocating,personal,0.0,2.0,2.0,0.0,vmc,takeoff,Probable Cause,,1983,4.0,0.0,0.5,0.5,0,piper_pa-24-250
20001214X42003,Accident,FTW83LA091,1983-01-15,"NACOGDOCHES, TX",United States,,,OCH,EAST TEXAS REGIONAL,Non-Fatal,substantial,N45344,grumman american,aa-5b,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,grumman american_aa-5b
20001214X41986,Accident,FTW83FA092,1983-01-15,"MIDLAND, TX",United States,,,,,Non-Fatal,substantial,N45528,cessna,150,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,,1983,2.0,0.0,0.0,0.0,0,cessna_150
